Dataset,Learning Rate,Batch Size,Optimizer,MSE
Tesla.csv,0.001,32,SGD,12.956611633300781
Tesla.csv,0.01,32,SGD,5.079209804534912
Tesla.csv,0.1,32,SGD,4.895238876342773
Tesla.csv,0.01,16,SGD,5.131536483764648
Tesla.csv,0.01,64,SGD,5.106961727142334
Tesla.csv,0.01,32,Adam,13043.7451171875
Tesla.csv,0.01,32,RMSprop,12438.3505859375
