config_name,config,params,train_time,train_acc,test_acc,history
narrow,"[64, 32, 16]",199450,126.54316329956055,0.583,0.4974,"{'train_losses': [1.7303748676539077, 1.5200435433851178, 1.433943069194589, 1.374785005131646, 1.3246179780234462, 1.2897247065363637, 1.2563159522193168, 1.2266076908392065, 1.2027129339592537, 1.1828466139333633], 'train_accs': [0.38504, 0.46256, 0.49206, 0.51318, 0.5319, 0.54244, 0.55552, 0.5663, 0.57576, 0.583], 'test_losses': [1.5842706800266435, 1.5105115547301664, 1.4625318437624888, 1.4557357882238497, 1.4312324789678974, 1.4144248681463254, 1.4146117511068939, 1.4164349512689431, 1.4295742401651517, 1.4236492165334664], 'test_accs': [0.439, 0.4636, 0.4817, 0.4874, 0.4931, 0.5016, 0.5046, 0.506, 0.5062, 0.4974]}"
medium,"[256, 128, 64]",828490,99.34669947624207,0.66682,0.5313,"{'train_losses': [1.6649076780089942, 1.4616187105093466, 1.3604971146796976, 1.272940745743949, 1.2041646225373153, 1.1430236528749051, 1.0861382843435878, 1.0314189037093726, 0.9839301496515493, 0.9328301064955914], 'train_accs': [0.40876, 0.48252, 0.51838, 0.55038, 0.57382, 0.59346, 0.61346, 0.63544, 0.65026, 0.66682], 'test_losses': [1.5112142388228398, 1.4445834979889498, 1.4045915884576785, 1.3642486812202794, 1.3716849172191254, 1.3539446455657862, 1.3821143762321229, 1.3707695113625495, 1.4267709107156012, 1.427126056829076], 'test_accs': [0.4639, 0.485, 0.5067, 0.523, 0.5284, 0.5366, 0.5287, 0.5362, 0.5274, 0.5313]}"
wide,"[1024, 512, 256]",3805450,205.69058656692505,0.67874,0.537,"{'train_losses': [1.6896724897577329, 1.4834064111075438, 1.374850691279487, 1.2904787550649375, 1.2161468382534164, 1.1416785628594401, 1.0817371176179413, 1.0207649659165337, 0.9589310039187331, 0.904954152834385], 'train_accs': [0.39892, 0.47658, 0.51408, 0.5424, 0.56934, 0.59506, 0.61352, 0.6355, 0.65818, 0.67874], 'test_losses': [1.5328912917216113, 1.4919988440859848, 1.430730339068516, 1.3877432885443328, 1.401663473457288, 1.4353624270979766, 1.4536023193104253, 1.428526244345744, 1.45367195120283, 1.4705428257110014], 'test_accs': [0.4565, 0.471, 0.4944, 0.5116, 0.5169, 0.5241, 0.5165, 0.5328, 0.5321, 0.537]}"
xwide,"[2048, 1024, 512]",8921610,356.3559470176697,0.66668,0.5309,"{'train_losses': [1.7051606769756893, 1.502636068769733, 1.392593489278613, 1.313894555010759, 1.243371052281631, 1.1723198860197726, 1.1139212281960051, 1.0521389462453934, 0.9958166506741662, 0.9357003956804495], 'train_accs': [0.3947, 0.46992, 0.5081, 0.5365, 0.5593, 0.58404, 0.60348, 0.62384, 0.64486, 0.66668], 'test_losses': [1.6394480785746484, 1.4661600863098339, 1.4223321531988253, 1.4604929062970884, 1.4194995992502588, 1.415811127158487, 1.4076204307519706, 1.4262230236818836, 1.4914328334437814, 1.4982203275534758], 'test_accs': [0.4415, 0.4873, 0.5004, 0.4906, 0.5026, 0.5095, 0.5265, 0.5261, 0.5278, 0.5309]}"
